,Time,Bioreactor 23 - Air flow,Bioreactor 23 - Base volume pumped,Bioreactor 23 - CER,Bioreactor 23 - DO,Bioreactor 23 - Feed#1 flow rate,Bioreactor 23 - Feed#1 volume pumped,Bioreactor 23 - Off-gas CO2%,Bioreactor 23 - OUR,Bioreactor 23 - pH,Bioreactor 23 - RQ,Bioreactor 23 - Sampling events,Bioreactor 23 - Stir speed,Bioreactor 23 - Temperature,Bioreactor 23 - Volume
64,12.5,50.000863965465896,2.00378022756631,7.44755266325567,42.7118649107953,0.272361341899612,0.0676299682372682,0.538755121687687,9.845413664031199,7.09430088355034,0.8186434290098001,Sample 1.00 mL to Freezer 3/B5,1576.88387228553,36.995443718199795,102.09735716955
75,18.0,49.9947316309729,2.1864340319999997,25.5214831388041,50.078613539197505,0.32527715742567404,1.78776426294853,1.88744539416919,27.2284251172187,7.01346763510898,0.9373140923852691,Sample 2.00 mL to Freezer 3/D5,1940.18663815093,36.9993451030201,101.465377983513
85,23.0,50.017954643824396,2.8635477742116,25.0575536172089,49.7644092444472,0.351686666433976,3.4924396638147797,1.85383648083051,27.594780121571397,7.01318448404516,0.908082516186758,Sample 2.00 mL to Freezer 4/B5,1946.3916127364498,37.0040541749305,101.34650011017901
95,28.0,49.985988042757704,3.7228513300740294,26.5895167820013,49.9974834615833,0.380257968114599,5.33562665527523,1.96725247532374,28.5590670009264,7.033149047330901,0.931015917846663,Sample 2.00 mL to Freezer 4/D5,1964.0480704085198,37.003832565622204,101.527092748157
105,33.0,49.990410511411504,4.59609797500653,30.071992218469898,50.61628589010979,0.41118677702918605,7.3289259765685,2.2235507409404502,31.4116420234376,7.00636982051995,0.957396750532495,Sample 2.00 mL to Freezer 4/B5,2093.68072272416,37.0005650294895,101.95368336166
119,40.0,50.0165526511862,5.70060890560251,40.1069514742954,50.1774630305843,0.46292256209010496,10.411317896273099,2.96043020940549,39.7414108982464,7.00092187261879,1.00922494404357,Sample 2.00 mL to Freezer 4/D5,2315.4441209362,36.9993800263002,103.510916824965
132,46.5,49.99878778983,6.229775252089911,50.768355761383,49.8122625065029,0.5160913022168491,13.6170647695424,3.7462243722407997,49.476088140228704,7.01883426146971,1.0283184672660601,Sample 2.00 mL to Freezer 4/B5,2433.34073733428,36.998936546078205,104.41314612494699
140,50.5,49.987505479843705,6.56351407747435,55.5817731613608,51.5085649408537,0.5472883370349071,15.7592791691722,4.1003329428618995,53.6891003314239,7.02243031370031,1.03833225675088,Sample 2.00 mL to Freezer 4/D5,2658.27284318523,36.994853439281705,104.354584757257
148,54.5,50.0114319674051,6.90834901851915,59.1373395491697,50.1500359311195,0.580376512438884,18.031755698471603,4.36422205578262,58.2918611843104,7.026713119207599,1.0163774956574798,Sample 2.00 mL to Freezer 3/B5,2633.58263079857,37.0014884622271,104.31836394058901
156,58.5,49.9975634265156,7.2446125134646,63.363468976510894,49.799230201045894,0.615473942216786,20.4418223599137,4.674564737870639,61.683104160855294,7.016654566575889,1.02862821713703,Sample 2.00 mL to Freezer 3/D5,2770.4576797598497,37.00024382666471,104.388912730711
164,62.5,52.186234886418,7.602858073300429,67.2951949314947,50.55163372901399,0.652725281349203,22.9982085277457,4.76608240832928,65.5553362637651,7.02222502677043,1.02749467475086,Sample 2.00 mL to Freezer 4/B5,2985.49593517042,36.995373723275,104.70100580740299
172,66.5,53.2782071016229,7.99804238364132,70.0022565234926,50.2240467993495,0.692299939945157,25.710085316628998,4.85606393483262,68.5699756352701,7.0088621775804505,1.02183480132279,Sample 2.00 mL to Freezer 4/D5,2996.38454186383,37.0069843391892,105.081883896395
180,70.5,55.3848677356361,8.47390164145787,72.32524962925571,49.973794594919795,0.7343630010697758,28.586670657806,4.77637479979221,71.38132508481391,7.00382114324692,1.01553997806346,Sample 2.00 mL to Freezer 3/B5,2999.76488812067,37.0072081881909,105.686884066316
188,74.5,61.8576356739225,9.02270846542403,75.5202773625679,50.2186642973329,0.779105405382338,31.6386407751582,4.4654242033,74.14664222057979,6.995328467514219,1.02150497178896,Sample 2.00 mL to Freezer 1/B5,2999.2332049893103,37.0043898667476,106.510517298932
198,79.5,62.3061953002959,10.1245641911562,73.96154543965021,50.3729177369077,0.8436293715966751,35.728847389539,4.27766425062599,72.84977432581441,7.0087357027544295,1.01542871253685,Sample 2.00 mL to Freezer 1/D5,2999.7445155279197,36.9992469119823,108.77322817811701
