Time (hours),C-mol-Biomass,mol-Glucose,mol-Acetate,mol-Ethanol,mol-Serine
2.0,0.0005538305613008129,0.0082472962297284,0.0,0.00018214477380648663,0.0
3.5,0.0007170178230894309,0.007877991503407646,3.521001258932567e-05,0.00019885263293476876,0.0
5.0,0.001717483744715447,0.007192482028677642,0.00013349370388369327,0.00018406132869354096,0.0
6.5,0.0026506452495934957,0.006957466920453177,0.0001854848351359015,0.00013563308638981283,0.00018346436387858025
8.0,0.0032142908617886178,0.006279560302646017,0.00018471805709167332,0.00013167717066059844,0.00036000837377485963
9.5,0.003883310914227643,0.005727586929629932,0.00014349385157234236,0.000118315259055749,0.0007061760395851175
12.5,0.0053143922967479685,0.004678029916999896,0.0001290209608634057,8.81230487393698e-05,0.0011873655913978494
16.0,0.007106993066666668,0.0031776708592898264,0.00014540268157329765,5.532510991690509e-05,0.0019385989152155294
20.0,0.011325051642276422,0.000901145469339414,0.00018347125713748512,0.0,0.0035034237320392043
23.5,0.010865275616260163,2.4008826445967764e-05,0.00017210481098588852,0.0,0.0038947236654296316
